HRV ANALYSIS RESULTS - 22-Mar-2019 09:15:39
Kubios HRV Standard
3.2.0
released in January 2019

Analyzed by: Harry Fisher -  - Cardiff Metropolitan

File name: /Users/HarryFisher/Downloads/ProjectR/phdthesis/data/hrv/complete/004DC1.txt
Measurement date: xx/xx/xx xx:xx:xx
File type: asciiRR
Channel label: RR data
Data length: 00:10:04 (h:min:s)
Measurement rate: - 

Parameters
 Number of samples: 1
 Detrending method: Smoothn priors (lambda: 500)
 Min/Max HR as average of: 5 beats
 Threshold for NNxx/pNNxx: 50 ms
 Frequency bands
  VLF: 0 - 0.04 Hz
  LF: 0.04 - 0.15 Hz
  HF: 0.15 - 0.4 Hz
 Interpolation rate: 4 Hz
 Points in frequency-domain: 300 points/Hz
 FFT spectrum options
  Window width: 300 s
  Window overlap: 50 %
 AR spectrum options
  AR model order: 16
  Use factorization: No
 Apply detrending for nonlinear analysis: 1
 Entropy, embedding dimension: 2
 Entropy, tolerance: 0.2 x SD
 DFA, short-term fluctuations: 4-12 beats
 DFA, long-term fluctuations: 13-64 beats

RR Interval Samples Selected for Analysis
                              ,    Sample 1,
  Sample limits (hh:mm:ss):   ,00:03:00-00:08:00,
  Sample Analysis Type: Single sample
  Artifact correction: Threshold (low)
  Artifacts (%):              ,       0.635,


RESULTS FOR A SINGLE SAMPLE

Results Overview              ,
  PNS index:                  ,      1.6085,            ,
  SNS index:                  ,     -0.8983,            ,
  Stress index:               ,      4.9704,            ,

Time-Domain Results           ,
 Statistical parameters       ,
  Mean RR  (ms):              ,    953.7707,            ,
  STD RR (ms):                ,     96.6746,            ,
  Mean HR (beats/min):        ,     62.9082,            ,
  STD HR (beats/min):         ,      6.4600,            ,
  Min HR (beats/min):         ,     52.6986,            ,
  Max HR (beats/min):         ,     77.5795,            ,
  RMSSD (ms):                 ,     95.5786,            ,
  NNxx (beats):               ,         181,            ,
  pNNxx (%):                  ,     57.6433,            ,
  SDANN (ms):                 ,            ,            ,
  SDNN index (ms):            ,            ,            ,
 Geometric parameters         ,
  RR tri index:               ,   21.000000,            ,
  TINN (ms):                  ,    432.0000,            ,

Frequency-Domain Results      ,FFT spectrum, AR spectrum,
 Peak frequencies             ,
  VLF (Hz):                   ,    0.030000,    0.040000,
  LF (Hz):                    ,    0.140000,    0.130000,
  HF (Hz):                    ,    0.163333,    0.150000,
 Absolute powers              ,
  VLF (ms^2):                 ,    196.8866,    265.2037,
  LF (ms^2):                  ,   6440.7446,   4562.9386,
  HF (ms^2):                  ,   4119.3601,   4401.6170,
  VLF (log):                  ,      5.2826,      5.5805,
  LF (log):                   ,      8.7704,      8.4257,
  HF (log):                   ,      8.3235,      8.3897,
 Relative powers              ,
  VLF (%):                    ,      1.8302,      2.8728,
  LF (%):                     ,     59.8698,     49.4276,
  HF (%):                     ,     38.2914,     47.6801,
 Normalized powers            ,
  LF (n.u.):                  ,     60.9859,     50.8896,
  HF (n.u.):                  ,     39.0053,     49.0904,
 Total power (ms^2):          ,  10757.9205,   9231.5557,
 LF/HF ratio:                 ,      1.5635,      1.0367,


Nonlinear Results             ,
 Poincare plot                ,
  SD1 (ms):                   ,   67.693019,            ,
  SD2 (ms):                   ,  118.849790,            ,
  SD2/SD1 ratio:              ,    1.755717,            ,
 Approximate entropy (ApEn):  ,      1.0048,            ,
 Sample entropy (SampEn):     ,      1.4863,            ,
 Detrended fluctuation analysis (DFA),
  alpha 1:                    ,      0.9419,            ,
  alpha 2:                    ,      0.1632,            ,


RR INTERVAL DATA and SPECTRUM ESTIMATES,
                              ,    SAMPLE 1,            ,            ,            ,            ,            ,            ,            ,            ,
                              ,     RR Data,            ,FFT spectrum,            , AR Spectrum,            ,            ,            ,            ,
                              ,        Time, RR interval,   Frequency,         PSD,   Frequency,         PSD,   VLF comp.,    LF comp.,    HF comp.,
                              ,         (s),         (s),        (Hz),   (ms^2/Hz),        (Hz),   (ms^2/Hz),   (ms^2/Hz),   (ms^2/Hz),   (ms^2/Hz),
                              ,     180.053,       1.093,       0.000,     42.8509,       0.000,   3075.1260,            ,            ,            ,
                              ,     181.163,       1.110,       0.003,     18.0293,       0.003,   6161.7405,            ,            ,            ,
                              ,     182.250,       1.087,       0.007,      2.0448,       0.007,   6196.3571,            ,            ,            ,
                              ,     183.290,       1.040,       0.010,      2.1590,       0.010,   6254.5598,            ,            ,            ,
                              ,     184.185,       0.895,       0.013,     41.5143,       0.013,   6337.1243,            ,            ,            ,
                              ,     185.020,       0.835,       0.017,    729.1721,       0.017,   6445.1635,            ,            ,            ,
                              ,     185.918,       0.898,       0.020,   2044.8684,       0.020,   6580.1561,            ,            ,            ,
                              ,     187.091,       1.173,       0.023,   1934.8925,       0.023,   6743.9844,            ,            ,            ,
                              ,     188.226,       1.135,       0.027,  10345.4578,       0.027,   6938.9841,            ,            ,            ,
                              ,     189.306,       1.080,       0.030,  18836.7205,       0.030,   7168.0064,            ,            ,            ,
                              ,     190.292,       0.986,       0.033,   8463.1527,       0.033,   7434.4971,            ,            ,            ,
                              ,     191.189,       0.897,       0.037,  11591.7210,       0.037,   7742.5930,            ,            ,            ,
                              ,     192.057,       0.868,       0.040,   9701.8938,       0.040,   8097.2422,            ,            ,            ,
                              ,     193.115,       1.058,       0.043,  18651.7997,       0.043,   8504.3508,            ,            ,            ,
                              ,     194.295,       1.180,       0.047,    752.8179,       0.047,   8970.9634,            ,            ,            ,
                              ,     195.439,       1.144,       0.050,   2690.2705,       0.050,   9505.4835,            ,            ,            ,
                              ,     196.471,       1.032,       0.053,   4417.8415,       0.053,  10117.9418,            ,            ,            ,
                              ,     197.355,       0.884,       0.057,  18269.2591,       0.057,  10820.3230,            ,            ,            ,
                              ,     198.163,       0.808,       0.060,  19416.8554,       0.060,  11626.9595,            ,            ,            ,
                              ,     198.990,       0.827,       0.063,  31740.2654,       0.063,  12555.0027,            ,            ,            ,
                              ,     199.953,       0.963,       0.067,   3740.1354,       0.067,  13624.9789,            ,            ,            ,
                              ,     201.210,       1.257,       0.070,   5452.1219,       0.070,  14861.4306,            ,            ,            ,
                              ,     202.281,       1.071,       0.073,   5458.4498,       0.073,  16293.6290,            ,            ,            ,
                              ,     203.254,       0.973,       0.077,   3955.7943,       0.077,  17956.3186,            ,            ,            ,
                              ,     204.115,       0.861,       0.080,  32984.9915,       0.080,  19890.4017,            ,            ,            ,
                              ,     205.027,       0.912,       0.083,  42457.3835,       0.083,  22143.3867,            ,            ,            ,
                              ,     205.989,       0.962,       0.087,  37651.7535,       0.087,  24769.2820,            ,            ,            ,
                              ,     207.029,       1.040,       0.090,  30042.6854,       0.090,  27827.3885,            ,            ,            ,
                              ,     207.987,       0.958,       0.093,  98970.6304,       0.093,  31379.1237,            ,            ,            ,
                              ,     208.855,       0.868,       0.097, 135464.3855,       0.097,  35481.5928,            ,            ,            ,
                              ,     209.766,       0.911,       0.100,  51696.6455,       0.100,  40176.2290,            ,            ,            ,
                              ,     210.758,       0.992,       0.103,  14725.3264,       0.103,  45470.7801,            ,            ,            ,
                              ,     211.762,       1.004,       0.107,  46745.0607,       0.107,  51313.8992,            ,            ,            ,
                              ,     212.740,       0.978,       0.110,  97808.0707,       0.110,  57564.6761,            ,            ,            ,
