HRV ANALYSIS RESULTS - 22-Mar-2019 09:16:14
Kubios HRV Standard
3.2.0
released in January 2019

Analyzed by: Harry Fisher -  - Cardiff Metropolitan

File name: /Users/HarryFisher/Downloads/ProjectR/phdthesis/data/hrv/complete/005DC1.txt
Measurement date: xx/xx/xx xx:xx:xx
File type: asciiRR
Channel label: RR data
Data length: 00:10:07 (h:min:s)
Measurement rate: - 

Parameters
 Number of samples: 1
 Detrending method: Smoothn priors (lambda: 500)
 Min/Max HR as average of: 5 beats
 Threshold for NNxx/pNNxx: 50 ms
 Frequency bands
  VLF: 0 - 0.04 Hz
  LF: 0.04 - 0.15 Hz
  HF: 0.15 - 0.4 Hz
 Interpolation rate: 4 Hz
 Points in frequency-domain: 300 points/Hz
 FFT spectrum options
  Window width: 300 s
  Window overlap: 50 %
 AR spectrum options
  AR model order: 16
  Use factorization: No
 Apply detrending for nonlinear analysis: 1
 Entropy, embedding dimension: 2
 Entropy, tolerance: 0.2 x SD
 DFA, short-term fluctuations: 4-12 beats
 DFA, long-term fluctuations: 13-64 beats

RR Interval Samples Selected for Analysis
                              ,    Sample 1,
  Sample limits (hh:mm:ss):   ,00:03:00-00:08:00,
  Sample Analysis Type: Single sample
  Artifact correction: Threshold (low)
  Artifacts (%):              ,        6.88,


RESULTS FOR A SINGLE SAMPLE

Results Overview              ,
  PNS index:                  ,      4.2197,            ,
  SNS index:                  ,     -2.1809,            ,
  Stress index:               ,      3.9903,            ,

Time-Domain Results           ,
 Statistical parameters       ,
  Mean RR  (ms):              ,   1258.5343,            ,
  STD RR (ms):                ,     96.0869,            ,
  Mean HR (beats/min):        ,     47.6745,            ,
  STD HR (beats/min):         ,      4.0364,            ,
  Min HR (beats/min):         ,     42.6863,            ,
  Max HR (beats/min):         ,     59.3589,            ,
  RMSSD (ms):                 ,    136.2334,            ,
  NNxx (beats):               ,         173,            ,
  pNNxx (%):                  ,     70.3252,            ,
  SDANN (ms):                 ,            ,            ,
  SDNN index (ms):            ,            ,            ,
 Geometric parameters         ,
  RR tri index:               ,   17.642857,            ,
  TINN (ms):                  ,    464.0000,            ,

Frequency-Domain Results      ,FFT spectrum, AR spectrum,
 Peak frequencies             ,
  VLF (Hz):                   ,    0.036667,    0.040000,
  LF (Hz):                    ,    0.126667,    0.116667,
  HF (Hz):                    ,    0.263333,    0.256667,
 Absolute powers              ,
  VLF (ms^2):                 ,    641.9013,    446.7174,
  LF (ms^2):                  ,   3209.5361,   2621.2004,
  HF (ms^2):                  ,   5654.6498,   4557.2434,
  VLF (log):                  ,      6.4644,      6.1019,
  LF (log):                   ,      8.0739,      7.8714,
  HF (log):                   ,      8.6402,      8.4245,
 Relative powers              ,
  VLF (%):                    ,      6.7503,      5.8476,
  LF (%):                     ,     33.7517,     34.3122,
  HF (%):                     ,     59.4647,     59.6555,
 Normalized powers            ,
  LF (n.u.):                  ,     36.1950,     36.4433,
  HF (n.u.):                  ,     63.7693,     63.3606,
 Total power (ms^2):          ,   9509.2597,   7639.2674,
 LF/HF ratio:                 ,      0.5676,      0.5752,


Nonlinear Results             ,
 Poincare plot                ,
  SD1 (ms):                   ,   96.528466,            ,
  SD2 (ms):                   ,   95.905117,            ,
  SD2/SD1 ratio:              ,    0.993542,            ,
 Approximate entropy (ApEn):  ,      1.0113,            ,
 Sample entropy (SampEn):     ,      1.8244,            ,
 Detrended fluctuation analysis (DFA),
  alpha 1:                    ,      0.6292,            ,
  alpha 2:                    ,      0.2103,            ,


RR INTERVAL DATA and SPECTRUM ESTIMATES,
                              ,    SAMPLE 1,            ,            ,            ,            ,            ,            ,            ,            ,
                              ,     RR Data,            ,FFT spectrum,            , AR Spectrum,            ,            ,            ,            ,
                              ,        Time, RR interval,   Frequency,         PSD,   Frequency,         PSD,   VLF comp.,    LF comp.,    HF comp.,
                              ,         (s),         (s),        (Hz),   (ms^2/Hz),        (Hz),   (ms^2/Hz),   (ms^2/Hz),   (ms^2/Hz),   (ms^2/Hz),
                              ,     180.419,       1.397,       0.000,    343.0912,       0.000,   5311.3691,            ,            ,            ,
                              ,     181.904,       1.485,       0.003,    158.1981,       0.003,  10637.8847,            ,            ,            ,
                              ,     183.304,       1.400,       0.007,      1.8809,       0.007,  10683.4424,            ,            ,            ,
                              ,     184.651,       1.347,       0.010,    152.3996,       0.010,  10759.7659,            ,            ,            ,
                              ,     186.037,       1.386,       0.013,    403.3094,       0.013,  10867.4479,            ,            ,            ,
                              ,     187.432,       1.395,       0.017,     51.4928,       0.017,  11007.3205,            ,            ,            ,
                              ,     188.800,       1.368,       0.020,   3992.0844,       0.020,  11180.4580,            ,            ,            ,
                              ,     190.215,       1.415,       0.023,   9980.5758,       0.023,  11388.1773,            ,            ,            ,
                              ,     191.555,       1.340,       0.027,   7018.9413,       0.027,  11632.0389,            ,            ,            ,
                              ,     192.908,       1.353,       0.030,   6672.2903,       0.030,  11913.8429,            ,            ,            ,
                              ,     194.253,       1.345,       0.033,  36629.3473,       0.033,  12235.6218,            ,            ,            ,
                              ,     195.481,       1.228,       0.037,  89672.1182,       0.037,  12599.6247,            ,            ,            ,
                              ,     196.843,       1.362,       0.040,  76246.2996,       0.040,  13008.2924,            ,            ,            ,
                              ,     198.078,       1.235,       0.043,   6489.4119,       0.043,  13464.2164,            ,            ,            ,
                              ,     199.220,       1.142,       0.047,  12995.6577,       0.047,  13970.0786,            ,            ,            ,
                              ,     200.602,       1.382,       0.050,  11186.4777,       0.050,  14528.5636,            ,            ,            ,
                              ,     201.946,       1.344,       0.053,   3608.2759,       0.053,  15142.2374,            ,            ,            ,
                              ,     203.155,       1.209,       0.057,  14717.9748,       0.057,  15813.3815,            ,            ,            ,
                              ,     204.496,       1.341,       0.060,  14870.3793,       0.060,  16543.7736,            ,            ,            ,
                              ,     205.831,       1.335,       0.063,   2808.4039,       0.063,  17334.4061,            ,            ,            ,
                              ,     206.493,       1.336,       0.067,   4949.4710,       0.067,  18185.1336,            ,            ,            ,
                              ,     207.882,       1.389,       0.070,   6119.6005,       0.070,  19094.2484,            ,            ,            ,
                              ,     209.289,       1.407,       0.073,   6629.6958,       0.073,  20057.9900,            ,            ,            ,
                              ,     210.578,       1.289,       0.077,  16074.1868,       0.077,  21070.0098,            ,            ,            ,
                              ,     211.922,       1.344,       0.080,   5571.6812,       0.080,  22120.8333,            ,            ,            ,
                              ,     213.163,       1.241,       0.083,  11360.2558,       0.083,  23197.3867,            ,            ,            ,
                              ,     214.247,       1.084,       0.087,  47522.3558,       0.087,  24282.6842,            ,            ,            ,
                              ,     215.354,       1.107,       0.090,  26743.5802,       0.090,  25355.7952,            ,            ,            ,
                              ,     216.660,       1.306,       0.093,  22240.2060,       0.093,  26392.2184,            ,            ,            ,
                              ,     218.008,       1.348,       0.097,   8733.2752,       0.097,  27364.7692,            ,            ,            ,
                              ,     219.267,       1.259,       0.100,  20503.1414,       0.100,  28245.0274,            ,            ,            ,
                              ,     220.474,       1.207,       0.103,   9376.4798,       0.103,  29005.2883,            ,            ,            ,
                              ,     221.783,       1.309,       0.107,   8231.8317,       0.107,  29620.8343,            ,            ,            ,
                              ,     223.017,       1.234,       0.110,  36646.0938,       0.110,  30072.2221,            ,            ,            ,
