HRV ANALYSIS RESULTS - 22-Mar-2019 09:16:51
Kubios HRV Standard
3.2.0
released in January 2019

Analyzed by: Harry Fisher -  - Cardiff Metropolitan

File name: /Users/HarryFisher/Downloads/ProjectR/phdthesis/data/hrv/complete/006DC1.txt
Measurement date: xx/xx/xx xx:xx:xx
File type: asciiRR
Channel label: RR data
Data length: 00:10:56 (h:min:s)
Measurement rate: - 

Parameters
 Number of samples: 1
 Detrending method: Smoothn priors (lambda: 500)
 Min/Max HR as average of: 5 beats
 Threshold for NNxx/pNNxx: 50 ms
 Frequency bands
  VLF: 0 - 0.04 Hz
  LF: 0.04 - 0.15 Hz
  HF: 0.15 - 0.4 Hz
 Interpolation rate: 4 Hz
 Points in frequency-domain: 300 points/Hz
 FFT spectrum options
  Window width: 300 s
  Window overlap: 50 %
 AR spectrum options
  AR model order: 16
  Use factorization: No
 Apply detrending for nonlinear analysis: 1
 Entropy, embedding dimension: 2
 Entropy, tolerance: 0.2 x SD
 DFA, short-term fluctuations: 4-12 beats
 DFA, long-term fluctuations: 13-64 beats

RR Interval Samples Selected for Analysis
                              ,    Sample 1,
  Sample limits (hh:mm:ss):   ,00:03:00-00:08:00,
  Sample Analysis Type: Single sample
  Artifact correction: Threshold (low)
  Artifacts (%):              ,       0.735,


RESULTS FOR A SINGLE SAMPLE

Results Overview              ,
  PNS index:                  ,     -0.8947,            ,
  SNS index:                  ,      0.9848,            ,
  Stress index:               ,      8.4653,            ,

Time-Domain Results           ,
 Statistical parameters       ,
  Mean RR  (ms):              ,    731.6283,            ,
  STD RR (ms):                ,     68.0436,            ,
  Mean HR (beats/min):        ,     82.0089,            ,
  STD HR (beats/min):         ,      7.4072,            ,
  Min HR (beats/min):         ,     62.6357,            ,
  Max HR (beats/min):         ,     99.7340,            ,
  RMSSD (ms):                 ,     44.0485,            ,
  NNxx (beats):               ,          74,            ,
  pNNxx (%):                  ,     18.1818,            ,
  SDANN (ms):                 ,            ,            ,
  SDNN index (ms):            ,            ,            ,
 Geometric parameters         ,
  RR tri index:               ,   13.161290,            ,
  TINN (ms):                  ,    286.0000,            ,

Frequency-Domain Results      ,FFT spectrum, AR spectrum,
 Peak frequencies             ,
  VLF (Hz):                   ,    0.030000,    0.040000,
  LF (Hz):                    ,    0.113333,    0.096667,
  HF (Hz):                    ,    0.150000,    0.150000,
 Absolute powers              ,
  VLF (ms^2):                 ,    340.4470,    339.8988,
  LF (ms^2):                  ,   3796.3833,   3761.7282,
  HF (ms^2):                  ,    747.9164,    557.4753,
  VLF (log):                  ,      5.8303,      5.8286,
  LF (log):                   ,      8.2418,      8.2326,
  HF (log):                   ,      6.6173,      6.3234,
 Relative powers              ,
  VLF (%):                    ,      6.9681,      7.2929,
  LF (%):                     ,     77.7026,     80.7120,
  HF (%):                     ,     15.3080,     11.9612,
 Normalized powers            ,
  LF (n.u.):                  ,     83.5226,     87.0613,
  HF (n.u.):                  ,     16.4546,     12.9022,
 Total power (ms^2):          ,   4885.7841,   4660.6809,
 LF/HF ratio:                 ,      5.0759,      6.7478,


Nonlinear Results             ,
 Poincare plot                ,
  SD1 (ms):                   ,   31.186315,            ,
  SD2 (ms):                   ,   90.994929,            ,
  SD2/SD1 ratio:              ,    2.917784,            ,
 Approximate entropy (ApEn):  ,      0.9202,            ,
 Sample entropy (SampEn):     ,      0.8982,            ,
 Detrended fluctuation analysis (DFA),
  alpha 1:                    ,      1.4653,            ,
  alpha 2:                    ,      0.3193,            ,


RR INTERVAL DATA and SPECTRUM ESTIMATES,
                              ,    SAMPLE 1,            ,            ,            ,            ,            ,            ,            ,            ,
                              ,     RR Data,            ,FFT spectrum,            , AR Spectrum,            ,            ,            ,            ,
                              ,        Time, RR interval,   Frequency,         PSD,   Frequency,         PSD,   VLF comp.,    LF comp.,    HF comp.,
                              ,         (s),         (s),        (Hz),   (ms^2/Hz),        (Hz),   (ms^2/Hz),   (ms^2/Hz),   (ms^2/Hz),   (ms^2/Hz),
                              ,     180.632,       0.754,       0.000,     18.9620,       0.000,   3765.7453,            ,            ,            ,
                              ,     181.427,       0.795,       0.003,      8.0491,       0.003,   7551.4677,            ,            ,            ,
                              ,     182.221,       0.794,       0.007,      0.8666,       0.007,   7611.8074,            ,            ,            ,
                              ,     182.996,       0.775,       0.010,      6.4946,       0.010,   7713.7516,            ,            ,            ,
                              ,     183.818,       0.822,       0.013,    171.2639,       0.013,   7859.4281,            ,            ,            ,
                              ,     184.665,       0.847,       0.017,    800.0820,       0.017,   8051.9398,            ,            ,            ,
                              ,     185.518,       0.853,       0.020,    764.2149,       0.020,   8295.4997,            ,            ,            ,
                              ,     186.324,       0.806,       0.023,   1425.3596,       0.023,   8595.6191,            ,            ,            ,
                              ,     187.130,       0.806,       0.027,  23717.8154,       0.027,   8959.3627,            ,            ,            ,
                              ,     187.941,       0.811,       0.030,  35218.7452,       0.030,   9395.6897,            ,            ,            ,
                              ,     188.725,       0.784,       0.033,   6472.1011,       0.033,   9915.9065,            ,            ,            ,
                              ,     189.444,       0.719,       0.037,  16984.2870,       0.037,  10534.2656,            ,            ,            ,
                              ,     190.163,       0.719,       0.040,  32021.8760,       0.040,  11268.7586,            ,            ,            ,
                              ,     190.862,       0.699,       0.043,   8055.6162,       0.043,  12142.1659,            ,            ,            ,
                              ,     191.559,       0.697,       0.047,  58950.1258,       0.047,  13183.4459,            ,            ,            ,
                              ,     192.287,       0.728,       0.050,  36014.4770,       0.050,  14429.5660,            ,            ,            ,
                              ,     193.050,       0.763,       0.053,  12449.4893,       0.053,  15927.8937,            ,            ,            ,
                              ,     193.837,       0.787,       0.057,  12077.5768,       0.057,  17739.2550,            ,            ,            ,
                              ,     194.595,       0.758,       0.060,  21607.8479,       0.060,  19941.6861,            ,            ,            ,
                              ,     195.296,       0.701,       0.063,  10210.4865,       0.063,  22634.6411,            ,            ,            ,
                              ,     196.000,       0.704,       0.067,  24865.8616,       0.067,  25942.7254,            ,            ,            ,
                              ,     196.683,       0.683,       0.070,  18313.3940,       0.070,  30016.4024,            ,            ,            ,
                              ,     197.351,       0.668,       0.073,  10462.1533,       0.073,  35023.6060,            ,            ,            ,
                              ,     198.027,       0.676,       0.077,  17139.9757,       0.077,  41119.4206,            ,            ,            ,
                              ,     198.717,       0.690,       0.080,  67989.9125,       0.080,  48370.5430,            ,            ,            ,
                              ,     199.397,       0.680,       0.083,  61342.4721,       0.083,  56603.8021,            ,            ,            ,
                              ,     200.068,       0.671,       0.087, 111253.5498,       0.087,  65172.9443,            ,            ,            ,
                              ,     200.737,       0.669,       0.090,   3427.4987,       0.090,  72756.2903,            ,            ,            ,
                              ,     201.395,       0.658,       0.093,  35139.4413,       0.093,  77509.3781,            ,            ,            ,
                              ,     202.053,       0.658,       0.097,  76899.6371,       0.097,  77873.7409,            ,            ,            ,
                              ,     202.731,       0.678,       0.100,   4063.4314,       0.100,  73623.7072,            ,            ,            ,
                              ,     203.414,       0.683,       0.103,  43220.1032,       0.103,  66060.1286,            ,            ,            ,
                              ,     204.071,       0.657,       0.107,  51421.5458,       0.107,  57103.6108,            ,            ,            ,
                              ,     204.740,       0.669,       0.110,  88097.7319,       0.110,  48299.8394,            ,            ,            ,
