HRV ANALYSIS RESULTS - 22-Mar-2019 10:10:23
Kubios HRV Standard
3.2.0
released in January 2019

Analyzed by: Harry Fisher -  - Cardiff Metropolitan

File name: /Users/HarryFisher/Downloads/ProjectR/phdthesis/data/hrv/complete/011DC1.txt
Measurement date: xx/xx/xx xx:xx:xx
File type: asciiRR
Channel label: RR data
Data length: 00:10:01 (h:min:s)
Measurement rate: - 

Parameters
 Number of samples: 1
 Detrending method: Smoothn priors (lambda: 500)
 Min/Max HR as average of: 5 beats
 Threshold for NNxx/pNNxx: 50 ms
 Frequency bands
  VLF: 0 - 0.04 Hz
  LF: 0.04 - 0.15 Hz
  HF: 0.15 - 0.4 Hz
 Interpolation rate: 4 Hz
 Points in frequency-domain: 300 points/Hz
 FFT spectrum options
  Window width: 300 s
  Window overlap: 50 %
 AR spectrum options
  AR model order: 16
  Use factorization: No
 Apply detrending for nonlinear analysis: 1
 Entropy, embedding dimension: 2
 Entropy, tolerance: 0.2 x SD
 DFA, short-term fluctuations: 4-12 beats
 DFA, long-term fluctuations: 13-64 beats

RR Interval Samples Selected for Analysis
                              ,    Sample 1,
  Sample limits (hh:mm:ss):   ,00:03:00-00:08:00,
  Sample Analysis Type: Single sample
  Artifact correction: Threshold (low)
  Artifacts (%):              ,         NaN,


RESULTS FOR A SINGLE SAMPLE

Results Overview              ,
  PNS index:                  ,      2.1966,            ,
  SNS index:                  ,     -1.5540,            ,
  Stress index:               ,      4.6865,            ,

Time-Domain Results           ,
 Statistical parameters       ,
  Mean RR  (ms):              ,   1128.3684,            ,
  STD RR (ms):                ,     89.6084,            ,
  Mean HR (beats/min):        ,     53.1741,            ,
  STD HR (beats/min):         ,      4.4242,            ,
  Min HR (beats/min):         ,     44.5302,            ,
  Max HR (beats/min):         ,     70.3235,            ,
  RMSSD (ms):                 ,     88.5820,            ,
  NNxx (beats):               ,         132,            ,
  pNNxx (%):                  ,     49.8113,            ,
  SDANN (ms):                 ,            ,            ,
  SDNN index (ms):            ,            ,            ,
 Geometric parameters         ,
  RR tri index:               ,   19.000000,            ,
  TINN (ms):                  ,    420.0000,            ,

Frequency-Domain Results      ,FFT spectrum, AR spectrum,
 Peak frequencies             ,
  VLF (Hz):                   ,    0.030000,    0.040000,
  LF (Hz):                    ,    0.096667,    0.100000,
  HF (Hz):                    ,    0.200000,    0.150000,
 Absolute powers              ,
  VLF (ms^2):                 ,    855.6638,    920.5284,
  LF (ms^2):                  ,   5316.1233,   4382.1472,
  HF (ms^2):                  ,   1970.9294,   2302.9453,
  VLF (log):                  ,      6.7519,      6.8249,
  LF (log):                   ,      8.5785,      8.3853,
  HF (log):                   ,      7.5863,      7.7419,
 Relative powers              ,
  VLF (%):                    ,     10.5081,     12.1016,
  LF (%):                     ,     65.2854,     57.6093,
  HF (%):                     ,     24.2043,     30.2753,
 Normalized powers            ,
  LF (n.u.):                  ,     72.9512,     65.5407,
  HF (n.u.):                  ,     27.0464,     34.4436,
 Total power (ms^2):          ,   8142.8922,   7606.6723,
 LF/HF ratio:                 ,      2.6973,      1.9028,


Nonlinear Results             ,
 Poincare plot                ,
  SD1 (ms):                   ,   62.755453,            ,
  SD2 (ms):                   ,  110.360319,            ,
  SD2/SD1 ratio:              ,    1.758577,            ,
 Approximate entropy (ApEn):  ,      0.9969,            ,
 Sample entropy (SampEn):     ,      1.7861,            ,
 Detrended fluctuation analysis (DFA),
  alpha 1:                    ,      1.0987,            ,
  alpha 2:                    ,      0.3195,            ,


RR INTERVAL DATA and SPECTRUM ESTIMATES,
                              ,    SAMPLE 1,            ,            ,            ,            ,            ,            ,            ,            ,
                              ,     RR Data,            ,FFT spectrum,            , AR Spectrum,            ,            ,            ,            ,
                              ,        Time, RR interval,   Frequency,         PSD,   Frequency,         PSD,   VLF comp.,    LF comp.,    HF comp.,
                              ,         (s),         (s),        (Hz),   (ms^2/Hz),        (Hz),   (ms^2/Hz),   (ms^2/Hz),   (ms^2/Hz),   (ms^2/Hz),
                              ,     180.542,       1.298,       0.000,    142.7186,       0.000,  10959.3127,            ,            ,            ,
                              ,     181.864,       1.322,       0.003,     88.2099,       0.003,  21948.6293,            ,            ,            ,
                              ,     183.191,       1.327,       0.007,      0.2576,       0.007,  22038.9625,            ,            ,            ,
                              ,     184.549,       1.358,       0.010,     94.8093,       0.010,  22190.5930,            ,            ,            ,
                              ,     185.923,       1.374,       0.013,    132.7783,       0.013,  22405.1457,            ,            ,            ,
                              ,     187.279,       1.356,       0.017,    162.7913,       0.017,  22684.9190,            ,            ,            ,
                              ,     188.536,       1.257,       0.020,   3927.0469,       0.020,  23032.9061,            ,            ,            ,
                              ,     189.773,       1.237,       0.023,   4294.9169,       0.023,  23452.8210,            ,            ,            ,
                              ,     191.005,       1.232,       0.027,  45626.0072,       0.027,  23949.1231,            ,            ,            ,
                              ,     192.082,       1.077,       0.030,  97340.3091,       0.030,  24527.0391,            ,            ,            ,
                              ,     193.081,       0.999,       0.033,  30056.1847,       0.033,  25192.5739,            ,            ,            ,
                              ,     194.124,       1.043,       0.037,  49176.2128,       0.037,  25952.4995,            ,            ,            ,
                              ,     195.550,       1.426,       0.040,  49009.7344,       0.040,  26814.3089,            ,            ,            ,
                              ,     196.882,       1.332,       0.043,  18420.2460,       0.043,  27786.1117,            ,            ,            ,
                              ,     197.998,       1.116,       0.047,  40063.8407,       0.047,  28876.4415,            ,            ,            ,
                              ,     199.153,       1.155,       0.050,  20369.3960,       0.050,  30093.9309,            ,            ,            ,
                              ,     200.417,       1.264,       0.053,   2970.6667,       0.053,  31446.7987,            ,            ,            ,
                              ,     201.691,       1.274,       0.057,  24750.8224,       0.057,  32942.0700,            ,            ,            ,
                              ,     202.908,       1.217,       0.060,  26204.1579,       0.060,  34584.4394,            ,            ,            ,
                              ,     204.051,       1.143,       0.063,  79091.2842,       0.063,  36374.6689,            ,            ,            ,
                              ,     205.293,       1.242,       0.067,  72409.6353,       0.067,  38307.4211,            ,            ,            ,
                              ,     206.572,       1.279,       0.070, 115149.5992,       0.070,  40368.4653,            ,            ,            ,
                              ,     207.813,       1.241,       0.073,  65246.8177,       0.073,  42531.3014,            ,            ,            ,
                              ,     208.919,       1.106,       0.077,  29749.6585,       0.077,  44753.4522,            ,            ,            ,
                              ,     209.900,       0.981,       0.080,  15969.8375,       0.080,  46973.0083,            ,            ,            ,
                              ,     210.861,       0.961,       0.083,   9547.5871,       0.083,  49106.4604,            ,            ,            ,
                              ,     212.017,       1.156,       0.087,  19075.4161,       0.087,  51049.3025,            ,            ,            ,
                              ,     213.338,       1.321,       0.090,  25061.8211,       0.090,  52681.0836,            ,            ,            ,
                              ,     214.598,       1.260,       0.093, 135571.7319,       0.093,  53876.1170,            ,            ,            ,
                              ,     215.833,       1.235,       0.097, 218562.0395,       0.097,  54519.6124,            ,            ,            ,
                              ,     217.081,       1.248,       0.100, 210452.1925,       0.100,  54526.6864,            ,            ,            ,
                              ,     218.277,       1.196,       0.103, 111437.9243,       0.103,  53859.4432,            ,            ,            ,
                              ,     219.453,       1.176,       0.107,  11106.7434,       0.107,  52536.5807,            ,            ,            ,
                              ,     220.694,       1.241,       0.110,  24094.2947,       0.110,  50631.7991,            ,            ,            ,
