HRV ANALYSIS RESULTS - 22-Mar-2019 10:11:20
Kubios HRV Standard
3.2.0
released in January 2019

Analyzed by: Harry Fisher -  - Cardiff Metropolitan

File name: /Users/HarryFisher/Downloads/ProjectR/phdthesis/data/hrv/complete/014DC1.txt
Measurement date: xx/xx/xx xx:xx:xx
File type: asciiRR
Channel label: RR data
Data length: 00:10:03 (h:min:s)
Measurement rate: - 

Parameters
 Number of samples: 1
 Detrending method: Smoothn priors (lambda: 500)
 Min/Max HR as average of: 5 beats
 Threshold for NNxx/pNNxx: 50 ms
 Frequency bands
  VLF: 0 - 0.04 Hz
  LF: 0.04 - 0.15 Hz
  HF: 0.15 - 0.4 Hz
 Interpolation rate: 4 Hz
 Points in frequency-domain: 300 points/Hz
 FFT spectrum options
  Window width: 300 s
  Window overlap: 50 %
 AR spectrum options
  AR model order: 16
  Use factorization: No
 Apply detrending for nonlinear analysis: 1
 Entropy, embedding dimension: 2
 Entropy, tolerance: 0.2 x SD
 DFA, short-term fluctuations: 4-12 beats
 DFA, long-term fluctuations: 13-64 beats

RR Interval Samples Selected for Analysis
                              ,    Sample 1,
  Sample limits (hh:mm:ss):   ,00:03:00-00:08:00,
  Sample Analysis Type: Single sample
  Artifact correction: Threshold (low)
  Artifacts (%):              ,           0,


RESULTS FOR A SINGLE SAMPLE

Results Overview              ,
  PNS index:                  ,     -0.8969,            ,
  SNS index:                  ,      1.1920,            ,
  Stress index:               ,     13.4765,            ,

Time-Domain Results           ,
 Statistical parameters       ,
  Mean RR  (ms):              ,    800.9440,            ,
  STD RR (ms):                ,     29.0794,            ,
  Mean HR (beats/min):        ,     74.9116,            ,
  STD HR (beats/min):         ,      2.7519,            ,
  Min HR (beats/min):         ,     69.1882,            ,
  Max HR (beats/min):         ,     84.2933,            ,
  RMSSD (ms):                 ,     27.8579,            ,
  NNxx (beats):               ,          20,            ,
  pNNxx (%):                  ,      5.3476,            ,
  SDANN (ms):                 ,            ,            ,
  SDNN index (ms):            ,            ,            ,
 Geometric parameters         ,
  RR tri index:               ,    7.978723,            ,
  TINN (ms):                  ,    137.0000,            ,

Frequency-Domain Results      ,FFT spectrum, AR spectrum,
 Peak frequencies             ,
  VLF (Hz):                   ,    0.033333,    0.040000,
  LF (Hz):                    ,    0.086667,    0.073333,
  HF (Hz):                    ,    0.223333,    0.236667,
 Absolute powers              ,
  VLF (ms^2):                 ,     46.6394,     68.5481,
  LF (ms^2):                  ,    215.0197,    258.5783,
  HF (ms^2):                  ,    448.5286,    449.1252,
  VLF (log):                  ,      3.8424,      4.2275,
  LF (log):                   ,      5.3707,      5.5552,
  HF (log):                   ,      6.1060,      6.1073,
 Relative powers              ,
  VLF (%):                    ,      6.5667,      8.8276,
  LF (%):                     ,     30.2742,     33.2997,
  HF (%):                     ,     63.1517,     57.8383,
 Normalized powers            ,
  LF (n.u.):                  ,     32.4020,     36.5239,
  HF (n.u.):                  ,     67.5901,     63.4384,
 Total power (ms^2):          ,    710.2401,    776.5185,
 LF/HF ratio:                 ,      0.4794,      0.5757,


Nonlinear Results             ,
 Poincare plot                ,
  SD1 (ms):                   ,   19.724897,            ,
  SD2 (ms):                   ,   36.075933,            ,
  SD2/SD1 ratio:              ,    1.828954,            ,
 Approximate entropy (ApEn):  ,      1.1214,            ,
 Sample entropy (SampEn):     ,      1.6007,            ,
 Detrended fluctuation analysis (DFA),
  alpha 1:                    ,      0.8716,            ,
  alpha 2:                    ,      0.4886,            ,


RR INTERVAL DATA and SPECTRUM ESTIMATES,
                              ,    SAMPLE 1,            ,            ,            ,            ,            ,            ,            ,            ,
                              ,     RR Data,            ,FFT spectrum,            , AR Spectrum,            ,            ,            ,            ,
                              ,        Time, RR interval,   Frequency,         PSD,   Frequency,         PSD,   VLF comp.,    LF comp.,    HF comp.,
                              ,         (s),         (s),        (Hz),   (ms^2/Hz),        (Hz),   (ms^2/Hz),   (ms^2/Hz),   (ms^2/Hz),   (ms^2/Hz),
                              ,     180.251,       0.826,       0.000,      3.6921,       0.000,    757.6103,            ,            ,            ,
                              ,     181.095,       0.844,       0.003,      1.5934,       0.003,   1519.5277,            ,            ,            ,
                              ,     181.933,       0.838,       0.007,      0.5394,       0.007,   1532.5171,            ,            ,            ,
                              ,     182.726,       0.793,       0.010,      0.9784,       0.010,   1554.3939,            ,            ,            ,
                              ,     183.472,       0.746,       0.013,      9.3680,       0.013,   1585.5007,            ,            ,            ,
                              ,     184.215,       0.743,       0.017,    122.3591,       0.017,   1626.3174,            ,            ,            ,
                              ,     184.980,       0.765,       0.020,   1317.3886,       0.020,   1677.4590,            ,            ,            ,
                              ,     185.763,       0.783,       0.023,   1990.2185,       0.023,   1739.6676,            ,            ,            ,
                              ,     186.567,       0.804,       0.027,    678.8074,       0.027,   1813.7957,            ,            ,            ,
                              ,     187.362,       0.795,       0.030,   1812.5024,       0.030,   1900.7722,            ,            ,            ,
                              ,     188.100,       0.738,       0.033,   4439.6600,       0.033,   2001.5419,            ,            ,            ,
                              ,     188.830,       0.730,       0.037,   1814.7719,       0.037,   2116.9648,            ,            ,            ,
                              ,     189.588,       0.758,       0.040,   3587.6722,       0.040,   2247.6560,            ,            ,            ,
                              ,     190.370,       0.782,       0.043,   1590.9782,       0.043,   2393.7438,            ,            ,            ,
                              ,     191.175,       0.805,       0.047,   1452.1633,       0.047,   2554.5259,            ,            ,            ,
                              ,     191.986,       0.811,       0.050,   4826.6986,       0.050,   2728.0119,            ,            ,            ,
                              ,     192.741,       0.755,       0.053,   4684.0840,       0.053,   2910.3771,            ,            ,            ,
                              ,     193.532,       0.791,       0.057,   1985.7238,       0.057,   3095.4090,            ,            ,            ,
                              ,     194.341,       0.809,       0.060,    746.7510,       0.060,   3274.1327,            ,            ,            ,
                              ,     195.173,       0.832,       0.063,    768.7926,       0.063,   3434.8987,            ,            ,            ,
                              ,     195.967,       0.794,       0.067,    276.6896,       0.067,   3564.2610,            ,            ,            ,
                              ,     196.787,       0.820,       0.070,    150.7497,       0.070,   3648.8238,            ,            ,            ,
                              ,     197.605,       0.818,       0.073,    226.8196,       0.073,   3677.8414,            ,            ,            ,
                              ,     198.397,       0.792,       0.077,   5309.1186,       0.077,   3645.8237,            ,            ,            ,
                              ,     199.152,       0.755,       0.080,   2713.2914,       0.080,   3554.1075,            ,            ,            ,
                              ,     199.885,       0.733,       0.083,   5002.1690,       0.083,   3410.6466,            ,            ,            ,
                              ,     200.650,       0.765,       0.087,  10320.7726,       0.087,   3228.0832,            ,            ,            ,
                              ,     201.436,       0.786,       0.090,    782.3553,       0.090,   3020.9452,            ,            ,            ,
                              ,     202.255,       0.819,       0.093,   2269.2240,       0.093,   2803.0363,            ,            ,            ,
                              ,     203.043,       0.788,       0.097,   3320.2239,       0.097,   2585.7232,            ,            ,            ,
                              ,     203.844,       0.801,       0.100,   3900.9887,       0.100,   2377.2619,            ,            ,            ,
                              ,     204.671,       0.827,       0.103,    879.3405,       0.103,   2182.9138,            ,            ,            ,
                              ,     205.519,       0.848,       0.107,    652.9074,       0.107,   2005.4828,            ,            ,            ,
                              ,     206.324,       0.805,       0.110,   1193.1371,       0.110,   1845.9769,            ,            ,            ,
