HRV ANALYSIS RESULTS - 22-Mar-2019 10:11:49
Kubios HRV Standard
3.2.0
released in January 2019

Analyzed by: Harry Fisher -  - Cardiff Metropolitan

File name: /Users/HarryFisher/Downloads/ProjectR/phdthesis/data/hrv/complete/015DC1.txt
Measurement date: xx/xx/xx xx:xx:xx
File type: asciiRR
Channel label: RR data
Data length: 00:10:53 (h:min:s)
Measurement rate: - 

Parameters
 Number of samples: 1
 Detrending method: Smoothn priors (lambda: 500)
 Min/Max HR as average of: 5 beats
 Threshold for NNxx/pNNxx: 50 ms
 Frequency bands
  VLF: 0 - 0.04 Hz
  LF: 0.04 - 0.15 Hz
  HF: 0.15 - 0.4 Hz
 Interpolation rate: 4 Hz
 Points in frequency-domain: 300 points/Hz
 FFT spectrum options
  Window width: 300 s
  Window overlap: 50 %
 AR spectrum options
  AR model order: 16
  Use factorization: No
 Apply detrending for nonlinear analysis: 1
 Entropy, embedding dimension: 2
 Entropy, tolerance: 0.2 x SD
 DFA, short-term fluctuations: 4-12 beats
 DFA, long-term fluctuations: 13-64 beats

RR Interval Samples Selected for Analysis
                              ,    Sample 1,
  Sample limits (hh:mm:ss):   ,00:03:00-00:08:00,
  Sample Analysis Type: Single sample
  Artifact correction: Threshold (low)
  Artifacts (%):              ,           0,


RESULTS FOR A SINGLE SAMPLE

Results Overview              ,
  PNS index:                  ,      1.5223,            ,
  SNS index:                  ,     -0.8163,            ,
  Stress index:               ,      5.8461,            ,

Time-Domain Results           ,
 Statistical parameters       ,
  Mean RR  (ms):              ,    948.6899,            ,
  STD RR (ms):                ,     76.6292,            ,
  Mean HR (beats/min):        ,     63.2451,            ,
  STD HR (beats/min):         ,      5.2081,            ,
  Min HR (beats/min):         ,     56.7108,            ,
  Max HR (beats/min):         ,     77.8210,            ,
  RMSSD (ms):                 ,     90.3908,            ,
  NNxx (beats):               ,         193,            ,
  pNNxx (%):                  ,     61.2698,            ,
  SDANN (ms):                 ,            ,            ,
  SDNN index (ms):            ,            ,            ,
 Geometric parameters         ,
  RR tri index:               ,   17.555556,            ,
  TINN (ms):                  ,    362.0000,            ,

Frequency-Domain Results      ,FFT spectrum, AR spectrum,
 Peak frequencies             ,
  VLF (Hz):                   ,    0.040000,    0.040000,
  LF (Hz):                    ,    0.090000,    0.113333,
  HF (Hz):                    ,    0.283333,    0.333333,
 Absolute powers              ,
  VLF (ms^2):                 ,    101.1117,    287.6973,
  LF (ms^2):                  ,   2502.9237,   2499.4065,
  HF (ms^2):                  ,   2469.1841,   2487.3071,
  VLF (log):                  ,      4.6162,      5.6619,
  LF (log):                   ,      7.8252,      7.8238,
  HF (log):                   ,      7.8116,      7.8190,
 Relative powers              ,
  VLF (%):                    ,      1.9916,      5.4468,
  LF (%):                     ,     49.2994,     47.3195,
  HF (%):                     ,     48.6349,     47.0905,
 Normalized powers            ,
  LF (n.u.):                  ,     50.3012,     50.0454,
  HF (n.u.):                  ,     49.6232,     49.8031,
 Total power (ms^2):          ,   5076.9825,   5281.9749,
 LF/HF ratio:                 ,      1.0137,      1.0049,


Nonlinear Results             ,
 Poincare plot                ,
  SD1 (ms):                   ,   64.018981,            ,
  SD2 (ms):                   ,   87.209631,            ,
  SD2/SD1 ratio:              ,    1.362246,            ,
 Approximate entropy (ApEn):  ,      1.0474,            ,
 Sample entropy (SampEn):     ,      1.9934,            ,
 Detrended fluctuation analysis (DFA),
  alpha 1:                    ,      0.8927,            ,
  alpha 2:                    ,      0.2147,            ,


RR INTERVAL DATA and SPECTRUM ESTIMATES,
                              ,    SAMPLE 1,            ,            ,            ,            ,            ,            ,            ,            ,
                              ,     RR Data,            ,FFT spectrum,            , AR Spectrum,            ,            ,            ,            ,
                              ,        Time, RR interval,   Frequency,         PSD,   Frequency,         PSD,   VLF comp.,    LF comp.,    HF comp.,
                              ,         (s),         (s),        (Hz),   (ms^2/Hz),        (Hz),   (ms^2/Hz),   (ms^2/Hz),   (ms^2/Hz),   (ms^2/Hz),
                              ,     180.800,       1.013,       0.000,     91.1721,       0.000,   3351.8795,            ,            ,            ,
                              ,     181.891,       1.091,       0.003,     41.0443,       0.003,   6715.6807,            ,            ,            ,
                              ,     182.984,       1.093,       0.007,      0.4378,       0.007,   6751.5975,            ,            ,            ,
                              ,     184.041,       1.057,       0.010,     45.7440,       0.010,   6811.9682,            ,            ,            ,
                              ,     185.075,       1.034,       0.013,    571.9494,       0.013,   6897.5693,            ,            ,            ,
                              ,     186.090,       1.015,       0.017,    539.2183,       0.017,   7009.5124,            ,            ,            ,
                              ,     187.167,       1.077,       0.020,     51.2527,       0.020,   7149.2706,            ,            ,            ,
                              ,     188.178,       1.011,       0.023,   1986.0671,       0.023,   7318.7124,            ,            ,            ,
                              ,     189.056,       0.878,       0.027,   4843.9916,       0.027,   7520.1454,            ,            ,            ,
                              ,     189.950,       0.894,       0.030,    388.7580,       0.030,   7756.3707,            ,            ,            ,
                              ,     191.062,       1.112,       0.033,   3334.0809,       0.033,   8030.7482,            ,            ,            ,
                              ,     192.143,       1.081,       0.037,  11418.1345,       0.037,   8347.2758,            ,            ,            ,
                              ,     193.231,       1.088,       0.040,  14282.2843,       0.040,   8710.6808,            ,            ,            ,
                              ,     194.189,       0.958,       0.043,   1536.3022,       0.043,   9126.5265,            ,            ,            ,
                              ,     194.998,       0.809,       0.047,  15410.6705,       0.047,   9601.3319,            ,            ,            ,
                              ,     195.753,       0.755,       0.050,  33759.7863,       0.050,  10142.7010,            ,            ,            ,
                              ,     196.589,       0.836,       0.053,  38066.7487,       0.053,  10759.4561,            ,            ,            ,
                              ,     197.495,       0.906,       0.057,  21706.0504,       0.057,  11461.7618,            ,            ,            ,
                              ,     198.358,       0.863,       0.060,  14316.5357,       0.060,  12261.2146,            ,            ,            ,
                              ,     199.316,       0.958,       0.063,  35369.9123,       0.063,  13170.8584,            ,            ,            ,
                              ,     200.336,       1.020,       0.067,  38290.0450,       0.067,  14205.0590,            ,            ,            ,
                              ,     201.264,       0.928,       0.070,  19627.1495,       0.070,  15379.1309,            ,            ,            ,
                              ,     202.216,       0.952,       0.073,  30434.6608,       0.073,  16708.5548,            ,            ,            ,
                              ,     203.223,       1.007,       0.077,  28585.2025,       0.077,  18207.5532,            ,            ,            ,
                              ,     204.113,       0.890,       0.080,   2998.2923,       0.080,  19886.7091,            ,            ,            ,
                              ,     205.236,       1.123,       0.083,  31023.8379,       0.083,  21749.2578,            ,            ,            ,
                              ,     206.350,       1.114,       0.087,  61334.7901,       0.087,  23785.7152,            ,            ,            ,
                              ,     207.282,       0.932,       0.090,  62519.3712,       0.090,  25966.7736,            ,            ,            ,
                              ,     208.197,       0.915,       0.093,  28839.2963,       0.093,  28235.0902,            ,            ,            ,
                              ,     209.181,       0.984,       0.097,  18873.3411,       0.097,  30497.8886,            ,            ,            ,
                              ,     210.119,       0.938,       0.100,  27449.4270,       0.100,  32624.0681,            ,            ,            ,
                              ,     211.068,       0.949,       0.103,  13613.8904,       0.103,  34450.8946,            ,            ,            ,
                              ,     212.245,       1.177,       0.107,  24634.7293,       0.107,  35804.4832,            ,            ,            ,
                              ,     213.217,       0.972,       0.110,  11385.2740,       0.110,  36533.3326,            ,            ,            ,
