HRV ANALYSIS RESULTS - 22-Mar-2019 10:12:33
Kubios HRV Standard
3.2.0
released in January 2019

Analyzed by: Harry Fisher -  - Cardiff Metropolitan

File name: /Users/HarryFisher/Downloads/ProjectR/phdthesis/data/hrv/complete/017DC1.txt
Measurement date: xx/xx/xx xx:xx:xx
File type: asciiRR
Channel label: RR data
Data length: 00:10:02 (h:min:s)
Measurement rate: - 

Parameters
 Number of samples: 1
 Detrending method: Smoothn priors (lambda: 500)
 Min/Max HR as average of: 5 beats
 Threshold for NNxx/pNNxx: 50 ms
 Frequency bands
  VLF: 0 - 0.04 Hz
  LF: 0.04 - 0.15 Hz
  HF: 0.15 - 0.4 Hz
 Interpolation rate: 4 Hz
 Points in frequency-domain: 300 points/Hz
 FFT spectrum options
  Window width: 300 s
  Window overlap: 50 %
 AR spectrum options
  AR model order: 16
  Use factorization: No
 Apply detrending for nonlinear analysis: 1
 Entropy, embedding dimension: 2
 Entropy, tolerance: 0.2 x SD
 DFA, short-term fluctuations: 4-12 beats
 DFA, long-term fluctuations: 13-64 beats

RR Interval Samples Selected for Analysis
                              ,    Sample 1,
  Sample limits (hh:mm:ss):   ,00:03:00-00:08:00,
  Sample Analysis Type: Single sample
  Artifact correction: Threshold (low)
  Artifacts (%):              ,         NaN,


RESULTS FOR A SINGLE SAMPLE

Results Overview              ,
  PNS index:                  ,      0.7344,            ,
  SNS index:                  ,     -0.3662,            ,
  Stress index:               ,     10.4536,            ,

Time-Domain Results           ,
 Statistical parameters       ,
  Mean RR  (ms):              ,    987.7697,            ,
  STD RR (ms):                ,     35.1270,            ,
  Mean HR (beats/min):        ,     60.7429,            ,
  STD HR (beats/min):         ,      2.1870,            ,
  Min HR (beats/min):         ,     58.1170,            ,
  Max HR (beats/min):         ,     65.6312,            ,
  RMSSD (ms):                 ,     50.4467,            ,
  NNxx (beats):               ,         114,            ,
  pNNxx (%):                  ,     37.6238,            ,
  SDANN (ms):                 ,            ,            ,
  SDNN index (ms):            ,            ,            ,
 Geometric parameters         ,
  RR tri index:               ,    8.941176,            ,
  TINN (ms):                  ,    187.0000,            ,

Frequency-Domain Results      ,FFT spectrum, AR spectrum,
 Peak frequencies             ,
  VLF (Hz):                   ,    0.040000,    0.040000,
  LF (Hz):                    ,    0.076667,    0.106667,
  HF (Hz):                    ,    0.316667,    0.296667,
 Absolute powers              ,
  VLF (ms^2):                 ,     17.7283,     32.7537,
  LF (ms^2):                  ,    314.7495,    265.4924,
  HF (ms^2):                  ,    801.2307,    774.6225,
  VLF (log):                  ,      2.8752,      3.4890,
  LF (log):                   ,      5.7518,      5.5816,
  HF (log):                   ,      6.6861,      6.6524,
 Relative powers              ,
  VLF (%):                    ,      1.5630,      3.0451,
  LF (%):                     ,     27.7501,     24.6828,
  HF (%):                     ,     70.6411,     72.0166,
 Normalized powers            ,
  LF (n.u.):                  ,     28.1907,     25.4580,
  HF (n.u.):                  ,     71.7628,     74.2784,
 Total power (ms^2):          ,   1134.2275,   1075.6168,
 LF/HF ratio:                 ,      0.3928,      0.3427,


Nonlinear Results             ,
 Poincare plot                ,
  SD1 (ms):                   ,   35.730390,            ,
  SD2 (ms):                   ,   34.558414,            ,
  SD2/SD1 ratio:              ,    0.967199,            ,
 Approximate entropy (ApEn):  ,      1.0615,            ,
 Sample entropy (SampEn):     ,      2.1220,            ,
 Detrended fluctuation analysis (DFA),
  alpha 1:                    ,      0.6188,            ,
  alpha 2:                    ,      0.1949,            ,


RR INTERVAL DATA and SPECTRUM ESTIMATES,
                              ,    SAMPLE 1,            ,            ,            ,            ,            ,            ,            ,            ,
                              ,     RR Data,            ,FFT spectrum,            , AR Spectrum,            ,            ,            ,            ,
                              ,        Time, RR interval,   Frequency,         PSD,   Frequency,         PSD,   VLF comp.,    LF comp.,    HF comp.,
                              ,         (s),         (s),        (Hz),   (ms^2/Hz),        (Hz),   (ms^2/Hz),   (ms^2/Hz),   (ms^2/Hz),   (ms^2/Hz),
                              ,     180.517,       1.004,       0.000,      1.1810,       0.000,    376.6753,            ,            ,            ,
                              ,     181.486,       0.969,       0.003,      0.6007,       0.003,    754.8803,            ,            ,            ,
                              ,     182.453,       0.967,       0.007,      0.2683,       0.007,    759.4902,            ,            ,            ,
                              ,     183.460,       1.007,       0.010,      8.9810,       0.010,    767.2436,            ,            ,            ,
                              ,     184.474,       1.014,       0.013,     51.8410,       0.013,    778.2476,            ,            ,            ,
                              ,     185.417,       0.943,       0.017,    188.2326,       0.017,    792.6554,            ,            ,            ,
                              ,     186.353,       0.936,       0.020,    670.3869,       0.020,    810.6698,            ,            ,            ,
                              ,     187.348,       0.995,       0.023,     79.6395,       0.023,    832.5475,            ,            ,            ,
                              ,     188.338,       0.990,       0.027,    266.3264,       0.027,    858.6050,            ,            ,            ,
                              ,     189.254,       0.916,       0.030,    208.3188,       0.030,    889.2246,            ,            ,            ,
                              ,     190.213,       0.959,       0.033,    880.4074,       0.033,    924.8631,            ,            ,            ,
                              ,     191.224,       1.011,       0.037,   1414.2105,       0.037,    966.0596,            ,            ,            ,
                              ,     192.187,       0.963,       0.040,   3058.3187,       0.040,   1013.4458,            ,            ,            ,
                              ,     193.170,       0.983,       0.043,   2517.3994,       0.043,   1067.7548,            ,            ,            ,
                              ,     194.181,       1.011,       0.047,   2057.4094,       0.047,   1129.8305,            ,            ,            ,
                              ,     195.150,       0.969,       0.050,   2962.9787,       0.050,   1200.6329,            ,            ,            ,
                              ,     196.082,       0.932,       0.053,   1767.8246,       0.053,   1281.2388,            ,            ,            ,
                              ,     197.079,       0.997,       0.057,    868.2483,       0.057,   1372.8321,            ,            ,            ,
                              ,     198.088,       1.009,       0.060,   4444.1896,       0.060,   1476.6765,            ,            ,            ,
                              ,     199.049,       0.961,       0.063,   1588.0918,       0.063,   1594.0617,            ,            ,            ,
                              ,     199.989,       0.940,       0.067,    693.6179,       0.067,   1726.2065,            ,            ,            ,
                              ,     201.026,       1.037,       0.070,   4144.7534,       0.070,   1874.1031,            ,            ,            ,
                              ,     202.056,       1.030,       0.073,   4072.5699,       0.073,   2038.2769,            ,            ,            ,
                              ,     202.996,       0.940,       0.077,   9574.5198,       0.077,   2218.4444,            ,            ,            ,
                              ,     203.966,       0.970,       0.080,   8133.0639,       0.080,   2413.0601,            ,            ,            ,
                              ,     204.986,       1.020,       0.083,   3445.1142,       0.083,   2618.7764,            ,            ,            ,
                              ,     205.964,       0.978,       0.087,    368.0422,       0.087,   2829.9034,            ,            ,            ,
                              ,     206.884,       0.920,       0.090,   2875.2533,       0.090,   3038.0431,            ,            ,            ,
                              ,     207.863,       0.979,       0.093,     90.0587,       0.093,   3232.1629,            ,            ,            ,
                              ,     208.864,       1.001,       0.097,    737.4319,       0.097,   3399.3934,            ,            ,            ,
                              ,     209.793,       0.929,       0.100,   3133.0351,       0.100,   3526.6928,            ,            ,            ,
                              ,     210.771,       0.978,       0.103,   3767.4200,       0.103,   3603.1683,            ,            ,            ,
                              ,     211.790,       1.019,       0.107,   1390.1804,       0.107,   3622.4123,            ,            ,            ,
                              ,     212.770,       0.980,       0.110,   1147.7007,       0.110,   3583.9858,            ,            ,            ,
