HRV ANALYSIS RESULTS - 22-Mar-2019 10:12:50
Kubios HRV Standard
3.2.0
released in January 2019

Analyzed by: Harry Fisher -  - Cardiff Metropolitan

File name: /Users/HarryFisher/Downloads/ProjectR/phdthesis/data/hrv/complete/018DC1.txt
Measurement date: xx/xx/xx xx:xx:xx
File type: asciiRR
Channel label: RR data
Data length: 00:10:05 (h:min:s)
Measurement rate: - 

Parameters
 Number of samples: 1
 Detrending method: Smoothn priors (lambda: 500)
 Min/Max HR as average of: 5 beats
 Threshold for NNxx/pNNxx: 50 ms
 Frequency bands
  VLF: 0 - 0.04 Hz
  LF: 0.04 - 0.15 Hz
  HF: 0.15 - 0.4 Hz
 Interpolation rate: 4 Hz
 Points in frequency-domain: 300 points/Hz
 FFT spectrum options
  Window width: 300 s
  Window overlap: 50 %
 AR spectrum options
  AR model order: 16
  Use factorization: No
 Apply detrending for nonlinear analysis: 1
 Entropy, embedding dimension: 2
 Entropy, tolerance: 0.2 x SD
 DFA, short-term fluctuations: 4-12 beats
 DFA, long-term fluctuations: 13-64 beats

RR Interval Samples Selected for Analysis
                              ,    Sample 1,
  Sample limits (hh:mm:ss):   ,00:03:00-00:08:00,
  Sample Analysis Type: Single sample
  Artifact correction: Threshold (low)
  Artifacts (%):              ,           0,


RESULTS FOR A SINGLE SAMPLE

Results Overview              ,
  PNS index:                  ,     -0.7845,            ,
  SNS index:                  ,      0.8632,            ,
  Stress index:               ,     11.4841,            ,

Time-Domain Results           ,
 Statistical parameters       ,
  Mean RR  (ms):              ,    814.9457,            ,
  STD RR (ms):                ,     40.3054,            ,
  Mean HR (beats/min):        ,     73.6245,            ,
  STD HR (beats/min):         ,      3.7508,            ,
  Min HR (beats/min):         ,     63.9386,            ,
  Max HR (beats/min):         ,     89.4988,            ,
  RMSSD (ms):                 ,     32.0383,            ,
  NNxx (beats):               ,          45,            ,
  pNNxx (%):                  ,     12.2616,            ,
  SDANN (ms):                 ,            ,            ,
  SDNN index (ms):            ,            ,            ,
 Geometric parameters         ,
  RR tri index:               ,   10.823529,            ,
  TINN (ms):                  ,    185.0000,            ,

Frequency-Domain Results      ,FFT spectrum, AR spectrum,
 Peak frequencies             ,
  VLF (Hz):                   ,    0.030000,    0.040000,
  LF (Hz):                    ,    0.080000,    0.090000,
  HF (Hz):                    ,    0.196667,    0.150000,
 Absolute powers              ,
  VLF (ms^2):                 ,    180.8008,    182.1448,
  LF (ms^2):                  ,   1109.2571,    788.2847,
  HF (ms^2):                  ,    710.7197,    572.4922,
  VLF (log):                  ,      5.1974,      5.2048,
  LF (log):                   ,      7.0114,      6.6699,
  HF (log):                   ,      6.5663,      6.3500,
 Relative powers              ,
  VLF (%):                    ,      9.0361,     11.8014,
  LF (%):                     ,     55.4388,     51.0741,
  HF (%):                     ,     35.5206,     37.0926,
 Normalized powers            ,
  LF (n.u.):                  ,     60.9459,     57.9080,
  HF (n.u.):                  ,     39.0491,     42.0557,
 Total power (ms^2):          ,   2000.8678,   1543.4151,
 LF/HF ratio:                 ,      1.5608,      1.3769,


Nonlinear Results             ,
 Poincare plot                ,
  SD1 (ms):                   ,   22.685502,            ,
  SD2 (ms):                   ,   52.338117,            ,
  SD2/SD1 ratio:              ,    2.307117,            ,
 Approximate entropy (ApEn):  ,      1.1524,            ,
 Sample entropy (SampEn):     ,      1.6985,            ,
 Detrended fluctuation analysis (DFA),
  alpha 1:                    ,      1.1340,            ,
  alpha 2:                    ,      0.4669,            ,


RR INTERVAL DATA and SPECTRUM ESTIMATES,
                              ,    SAMPLE 1,            ,            ,            ,            ,            ,            ,            ,            ,
                              ,     RR Data,            ,FFT spectrum,            , AR Spectrum,            ,            ,            ,            ,
                              ,        Time, RR interval,   Frequency,         PSD,   Frequency,         PSD,   VLF comp.,    LF comp.,    HF comp.,
                              ,         (s),         (s),        (Hz),   (ms^2/Hz),        (Hz),   (ms^2/Hz),   (ms^2/Hz),   (ms^2/Hz),   (ms^2/Hz),
                              ,     180.637,       0.789,       0.000,     10.6260,       0.000,   2135.3917,            ,            ,            ,
                              ,     181.420,       0.783,       0.003,      5.2234,       0.003,   4278.1661,            ,            ,            ,
                              ,     182.167,       0.747,       0.007,      0.8051,       0.007,   4300.3702,            ,            ,            ,
                              ,     182.890,       0.723,       0.010,     54.9623,       0.010,   4337.5624,            ,            ,            ,
                              ,     183.605,       0.715,       0.013,    374.1155,       0.013,   4390.0177,            ,            ,            ,
                              ,     184.306,       0.701,       0.017,    163.6032,       0.017,   4458.1135,            ,            ,            ,
                              ,     185.007,       0.701,       0.020,     85.0925,       0.020,   4542.3210,            ,            ,            ,
                              ,     185.745,       0.738,       0.023,   3620.2180,       0.023,   4643.1916,            ,            ,            ,
                              ,     186.478,       0.733,       0.027,  14811.0245,       0.027,   4761.3368,            ,            ,            ,
                              ,     187.171,       0.693,       0.030,  17645.8417,       0.030,   4897.3996,            ,            ,            ,
                              ,     187.855,       0.684,       0.033,  12692.4740,       0.033,   5052.0138,            ,            ,            ,
                              ,     188.565,       0.710,       0.037,   4757.9242,       0.037,   5225.7474,            ,            ,            ,
                              ,     189.310,       0.745,       0.040,     62.8877,       0.040,   5419.0267,            ,            ,            ,
                              ,     190.090,       0.780,       0.043,   1775.5884,       0.043,   5632.0361,            ,            ,            ,
                              ,     190.908,       0.818,       0.047,  19119.7051,       0.047,   5864.5888,            ,            ,            ,
                              ,     191.690,       0.782,       0.050,  16331.3856,       0.050,   6115.9669,            ,            ,            ,
                              ,     192.490,       0.800,       0.053,   7314.6180,       0.053,   6384.7298,            ,            ,            ,
                              ,     193.337,       0.847,       0.057,  17873.4866,       0.057,   6668.4982,            ,            ,            ,
                              ,     194.218,       0.881,       0.060,  18531.2826,       0.060,   6963.7283,            ,            ,            ,
                              ,     195.083,       0.865,       0.063,   3447.6082,       0.063,   7265.5043,            ,            ,            ,
                              ,     195.869,       0.786,       0.067,   4640.4535,       0.067,   7567.3909,            ,            ,            ,
                              ,     196.630,       0.761,       0.070,   8263.2856,       0.070,   7861.4048,            ,            ,            ,
                              ,     197.427,       0.797,       0.073,   6213.0838,       0.073,   8138.1671,            ,            ,            ,
                              ,     198.267,       0.840,       0.077,  12199.9301,       0.077,   8387.2970,            ,            ,            ,
                              ,     199.147,       0.880,       0.080,  29553.8478,       0.080,   8598.0717,            ,            ,            ,
                              ,     200.017,       0.870,       0.083,  17956.3950,       0.083,   8760.3264,            ,            ,            ,
                              ,     200.860,       0.843,       0.087,   2643.8896,       0.087,   8865.4906,            ,            ,            ,
                              ,     201.713,       0.853,       0.090,   7254.0452,       0.090,   8907.5924,            ,            ,            ,
                              ,     202.583,       0.870,       0.093,   8250.5998,       0.093,   8884.0270,            ,            ,            ,
                              ,     203.471,       0.888,       0.097,  13743.8889,       0.097,   8795.9142,            ,            ,            ,
                              ,     204.332,       0.861,       0.100,  16475.7417,       0.100,   8647.9571,            ,            ,            ,
                              ,     205.202,       0.870,       0.103,  15165.4767,       0.103,   8447.8354,            ,            ,            ,
                              ,     206.048,       0.846,       0.107,  12226.4962,       0.107,   8205.2754,            ,            ,            ,
                              ,     206.919,       0.871,       0.110,  11057.7874,       0.110,   7930.9967,            ,            ,            ,
