id,time,V9FFFS,V39FFFS,V45FFFS,V46FFFS,V48FFFS,V52FFFS,V58FFFS,V59FFFS,V1BIS,V2BIS,V6BIS,V10BIS,V17BIS,V18BIS,V21BIS,V29BIS,V33BIS,V43BIS,V47BIS,V50BIS,V56BIS,V57BIS,V60BIS,V61BIS,V63BIS,V14RI,V15RI,V32RI,V35RI,V5GDP,V12GDP,V20GDP,V31GDP,V41GDP,V54GDP,V65GDP,V4RR,V8RR,V16RR,V23RR,V25RR,V30RR,V36RR,V37RR,V22I,V27I,V28I,V38I,V40I,V44I,V51I
1,1,2,3,3,1,1,2,2,3,2,1,2,1,2,1,1,2,2,2,2,2,2,1,2,1,2,1,2,2,3,3,4,3,4,3,3,3,1,2,3,1,3,3,4,3,2,3,2,2,4,4,4
1,2,2,2,3,1,1,2,2,3,3,1,1,1,3,2,1,3,1,3,2,3,2,1,2,2,3,1,3,2,3,3,4,2,4,2,4,2,1,1,2,2,3,3,2,3,1,1,2,2,4,4,2
1,3,2,2,3,1,1,2,2,2,2,1,2,1,2,1,1,1,1,4,2,2,1,1,2,1,2,2,3,1,3,4,4,2,4,3,3,3,3,1,3,2,3,3,3,2,1,1,1,1,3,4,3
1,4,3,1,3,1,1,2,2,2,2,1,1,1,2,1,1,1,1,3,2,1,2,1,3,1,2,2,3,1,3,3,4,2,3,3,3,3,2,2,3,1,3,4,3,3,1,1,2,2,4,4,3
2,1,1,2,2,1,1,1,1,1,1,3,1,2,3,2,1,2,3,2,1,3,3,2,2,2,3,2,2,3,3,2,3,2,3,2,3,2,3,2,2,1,3,4,4,3,2,3,3,3,1,4,2
2,2,1,2,2,2,1,3,1,1,2,2,2,2,1,2,2,2,2,2,2,3,4,3,2,2,3,2,3,2,2,3,4,3,4,3,2,3,3,2,3,3,4,4,3,3,2,3,2,3,2,4,3
2,3,1,3,2,1,1,1,1,3,2,2,2,3,3,2,2,2,2,2,1,3,2,2,2,2,2,3,2,2,3,2,4,2,4,2,2,3,3,3,2,2,3,3,2,3,2,3,2,2,2,3,2
2,4,1,2,2,1,1,1,1,1,3,2,2,3,2,1,1,2,2,2,3,3,3,2,2,3,4,2,1,2,3,3,3,2,2,2,2,2,3,2,1,2,2,3,3,3,2,2,1,2,2,4,2
3,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,3,3,3,3,2,1,1,1,1,3,4,2,4,4,3,2,2,1,2,1,2,2,1,1,1,2,1,1,2,1,3
3,2,1,1,2,2,1,2,4,1,2,1,3,1,1,3,2,1,1,1,1,2,2,1,3,1,2,2,1,1,1,3,3,4,3,3,1,2,2,1,2,1,2,2,1,1,1,1,1,1,2,1,4
3,3,3,1,3,1,1,2,2,2,2,1,1,1,2,1,1,1,1,3,2,1,2,1,3,1,2,2,3,1,3,3,4,2,3,3,3,3,2,2,3,1,3,4,3,3,1,1,2,2,4,4,3
3,4,3,2,4,2,1,2,2,2,2,2,2,2,1,2,2,2,3,3,4,2,2,2,3,2,2,1,2,2,3,4,4,4,4,2,2,3,2,1,3,3,3,3,2,3,2,4,3,3,2,2,4
4,1,1,1,3,3,1,1,2,1,2,1,2,1,2,3,1,1,1,4,2,2,3,3,1,1,2,2,4,2,3,4,4,4,4,4,4,4,3,2,3,2,4,3,2,4,2,3,2,2,2,3,3
4,2,1,3,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,3,2,2,1,2,2,1,2,2,3,1,2,4,4,3,3,2,4,3,2,2,2,1,4,3,1,2,2,3,3,2,1,1,3
4,3,1,1,2,3,1,1,2,2,2,1,1,1,3,3,1,2,1,4,2,1,2,2,1,1,3,2,4,2,2,3,4,3,4,3,4,3,2,1,3,1,4,3,2,3,2,2,2,2,2,3,3
4,4,1,1,1,3,1,2,1,1,2,1,2,1,3,2,1,2,2,4,2,2,3,4,2,2,2,1,3,2,3,3,4,2,4,3,4,3,2,2,2,2,4,2,3,3,2,2,2,3,1,1,3
5,1,2,4,3,2,1,2,3,2,4,4,3,3,4,1,3,3,1,4,4,4,2,4,4,4,3,2,4,4,2,4,2,2,2,4,4,4,2,1,4,1,4,2,2,3,1,1,1,2,2,2,1
5,2,3,4,4,4,2,2,3,2,2,2,2,3,3,3,2,2,2,4,3,4,3,3,3,3,3,3,4,3,2,4,3,3,3,4,4,3,3,1,4,2,4,3,4,4,2,2,2,2,2,2,2
5,3,2,4,4,4,1,3,2,1,2,1,2,3,2,2,2,2,1,4,2,2,2,2,2,2,2,3,3,2,3,4,4,4,3,4,3,3,3,2,4,2,4,4,3,4,2,2,1,2,1,3,3
5,4,4,4,4,4,1,2,4,1,3,2,3,3,3,3,3,2,1,4,2,4,3,2,3,3,3,2,4,2,2,4,3,3,3,3,3,3,2,1,3,1,4,2,2,2,1,1,1,2,2,3,2
6,1,1,1,2,1,3,2,1,1,3,3,2,2,2,1,2,2,2,2,3,2,2,2,2,2,3,2,1,3,3,4,4,3,3,3,3,3,3,2,3,2,3,3,3,3,2,1,2,2,1,1,3
6,2,1,2,3,1,1,3,1,1,3,1,2,3,3,2,2,2,1,3,2,3,2,2,1,2,4,3,2,3,3,3,4,3,4,3,4,4,2,1,3,3,3,3,3,2,3,1,2,2,1,3,3
6,3,1,1,3,4,1,3,1,1,3,2,2,3,4,3,2,3,2,3,4,3,3,3,2,2,4,2,3,2,3,4,4,3,4,3,3,4,1,2,3,3,3,3,3,2,3,3,3,3,2,2,3
6,4,1,4,3,3,1,2,1,1,3,3,2,3,3,3,1,2,2,3,4,2,2,3,2,2,3,3,2,3,3,4,3,3,4,3,4,4,3,2,3,3,3,3,4,2,2,2,2,3,1,2,2
